area_coverage,route_redundancy,recharge_count_D1,recharge_count_D2,recharge_count_D3,batch_id
11.72,11.262798634812286,0,0,0,1
11.799999999999999,12.203389830508476,0,0,0,2
7.48,18.71657754010695,0,0,0,3
13.4,11.044776119402986,0,0,0,4
13.76,11.046511627906977,0,0,0,5
10.639999999999999,14.661654135338345,0,0,0,6
10.24,13.671875,0,0,0,7
10.12,21.34387351778656,0,0,0,8
11.76,14.965986394557824,0,0,0,9
10.040000000000001,13.94422310756972,0,0,0,10
9.56,18.410041841004183,0,0,0,11
10.96,2.9197080291970803,0,0,0,12
10.0,12.0,0,0,0,13
10.879999999999999,14.705882352941178,0,0,0,14
10.52,18.631178707224336,0,0,0,15
9.2,10.0,0,0,0,16
9.56,6.694560669456067,0,0,0,17
11.600000000000001,11.379310344827587,0,0,0,18
9.48,26.582278481012654,0,0,0,19
10.440000000000001,9.961685823754788,0,0,0,20
10.0,19.2,0,0,0,21
11.4,5.964912280701754,0,0,0,22
10.36,8.494208494208493,0,0,0,23
11.44,9.44055944055944,0,0,0,24
12.959999999999999,11.419753086419753,0,0,0,25
10.32,6.976744186046512,0,0,0,26
10.72,12.313432835820896,0,0,0,27
12.72,10.69182389937107,0,0,0,28
10.6,15.09433962264151,0,0,0,29
8.88,13.063063063063062,0,0,0,30
10.639999999999999,10.150375939849624,0,0,0,31
11.64,14.432989690721648,0,0,0,32
10.440000000000001,11.494252873563218,0,0,0,33
10.4,15.0,0,0,0,34
9.6,7.916666666666666,0,0,0,35
10.68,13.108614232209737,0,0,0,36
9.08,12.334801762114537,0,0,0,37
10.0,11.200000000000001,0,0,0,38
10.440000000000001,8.42911877394636,0,0,0,39
12.32,11.03896103896104,0,0,0,40
9.84,10.569105691056912,0,0,0,41
9.84,10.569105691056912,0,0,0,42
11.12,8.633093525179856,0,0,0,43
11.04,12.318840579710146,0,0,0,44
13.120000000000001,14.634146341463413,0,0,0,45
12.64,11.075949367088606,0,0,0,46
10.08,8.73015873015873,0,0,0,47
11.360000000000001,12.323943661971832,0,0,0,48
14.04,11.11111111111111,0,0,0,49
11.200000000000001,9.285714285714286,0,0,0,50
